id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público,ingresos_totales_USD_cat
23,1,1,14,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,10000,3,15000,3,25000,1,55000,27500,0,2,13,1,13,0,0,0,157.85319652722967,236.7797947908445,394.6329913180742,868.1925808997632,434.0962904498816,0,1,1,0,1,0,1
23,1,2,14,0,21,4,4,Padre no vive en el hogar,Madre no vive en el hogar,2,4,2,30000,1,0,2,30000,1,55000,27500,0,3,13,1,16,0,2,0,473.559589581689,0.0,473.559589581689,868.1925808997632,434.0962904498816,1,0,1,0,1,0,2
24,1,1,7,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,20000,20000,0,2,13,1,14,1,2,0,0.0,315.70639305445934,315.70639305445934,315.70639305445934,315.70639305445934,0,1,1,0,1,0,1
25,1,1,13,0,20,2,5,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,2,8000,2,8000,1,21000,10500,0,0,13,1,12,2,1,0,0.0,126.28255722178372,126.28255722178372,331.4917127071824,165.74585635359117,0,1,1,0,1,0,3
25,1,2,13,0,20,0,5,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,13000,1,0,3,13000,1,21000,10500,0,0,13,1,12,0,1,0,205.20915548539855,0.0,205.20915548539855,331.4917127071824,165.74585635359117,1,0,1,0,1,0,1
26,1,1,14,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,32300,3,32300,2,32300,32300,0,0,13,1,12,2,1,0,0.0,509.8658247829519,509.8658247829519,509.8658247829519,509.8658247829519,1,0,1,0,1,0,2
27,1,1,3,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,40000,20000,0,0,13,1,12,4,4,0,0.0,315.70639305445934,315.70639305445934,631.4127861089187,315.70639305445934,1,0,1,0,0,1,1
27,1,2,3,0,20,5,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,40000,20000,0,2,13,1,12,4,2,0,0.0,315.70639305445934,315.70639305445934,631.4127861089187,315.70639305445934,1,0,1,0,1,0,1
28,1,1,3,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,35000,3,35000,2,105000,35000,0,0,13,1,12,4,4,0,0.0,552.4861878453039,552.4861878453039,1657.4585635359117,552.4861878453039,0,1,1,0,0,1,2
28,1,2,3,0,22,5,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,40000,3,40000,2,105000,35000,0,2,13,1,12,4,4,0,0.0,631.4127861089187,631.4127861089187,1657.4585635359117,552.4861878453039,0,1,1,0,0,1,2
28,1,3,3,0,20,5,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,30000,3,30000,2,105000,35000,0,0,13,1,12,4,4,0,0.0,473.559589581689,473.559589581689,1657.4585635359117,552.4861878453039,0,1,1,0,0,1,2
29,1,1,1,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,6000,3,6000,2,6000,6000,0,0,13,1,14,2,3,0,0.0,94.7119179163378,94.7119179163378,94.7119179163378,94.7119179163378,0,1,1,0,1,0,3
30,1,1,2,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,30000,3,30000,2,30000,30000,0,0,13,1,12,2,2,0,0.0,473.559589581689,473.559589581689,473.559589581689,473.559589581689,0,1,1,0,1,0,2
31,1,1,2,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,1,0,3,20000,3,20000,2,20000,20000,0,0,13,1,12,1,1,0,0.0,315.70639305445934,315.70639305445934,315.70639305445934,315.70639305445934,1,0,1,0,1,0,1
32,1,1,1,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,2,0,3,25000,3,15000,3,40000,2,40000,40000,0,0,13,1,13,5,1,0,394.6329913180742,236.7797947908445,631.4127861089187,631.4127861089187,631.4127861089187,0,1,1,0,1,0,2
33,1,1,2,0,20,2,4,Padre no vive en el hogar,Madre no vive en el hogar,1,1,3,1000,2,30000,2,31000,1,56000,28000,0,0,13,1,13,2,2,0,15.785319652722968,473.559589581689,489.344909234412,883.9779005524862,441.9889502762431,1,0,1,0,1,0,2
